feature,coefficient,absolute_coefficient,nonzero_train_count,nonzero_train_pct
categorical__max_glu_serum_>300,-0.07119334484337086,0.07119334484337086,881,1.2318232662192392
categorical__diag_1_family_Circulatory,0.0704197730411857,0.0704197730411857,21430,29.963646532438474
categorical__A1Cresult_>7,-0.07001860668975081,0.07001860668975081,2717,3.7989373601789707
categorical__glyburide-metformin_No,0.06938474730950188,0.06938474730950188,71014,99.29250559284117
categorical__diag_2_family_Symptoms & ill-defined conditions,-0.06736338900407644,0.06736338900407644,3262,4.56096196868009
numeric__number_diagnoses,0.0670094683109607,0.0670094683109607,71520,100.0
categorical__diag_3_family_Skin & subcutaneous tissue,0.06601092981857262,0.06601092981857262,1769,2.473434004474273
categorical__admission_type_description_Not Available,-0.06495283612898921,0.06495283612898921,3404,4.759507829977629
numeric__log1p_number_emergency,0.06485740874002692,0.06485740874002692,71520,100.0
categorical__age_[30-40),0.06316308149430519,0.06316308149430519,2613,3.653523489932886
numeric__num_medications,0.05990071768683363,0.05990071768683363,71520,100.0
categorical__glyburide_Steady,-0.05960494132999057,0.05960494132999057,6480,9.060402684563758
categorical__payer_code_CM,0.05822371974707088,0.05822371974707088,1357,1.8973713646532437
categorical__medical_specialty_Pulmonology,0.0577703228885071,0.0577703228885071,599,0.8375279642058167
numeric__log1p_number_outpatient,0.057739806821352525,0.057739806821352525,71520,100.0
categorical__diag_1_family_Digestive,-0.056694654311484974,0.056694654311484974,6411,8.963926174496645
categorical__diag_3_family_Other,-0.05657077324757493,0.05657077324757493,75,0.10486577181208054
categorical__glipizide-metformin_No,-0.05586032674645816,0.05586032674645816,71508,99.98322147651007
categorical__payer_code_CP,-0.05488731507780581,0.05488731507780581,1723,2.409116331096197
categorical__metformin_No,-0.0547501622617687,0.0547501622617687,57585,80.51593959731544
categorical__repaglinide_Steady,-0.0545314201696546,0.0545314201696546,960,1.342281879194631
categorical__diabetesMed_Yes,-0.0512794166584955,0.0512794166584955,55113,77.05956375838926
categorical__admission_type_description_Unknown,0.050105325401273576,0.050105325401273576,3735,5.222315436241611
categorical__gender_Other,-0.050048463813262264,0.050048463813262264,1,0.0013982102908277406
categorical__troglitazone_No,-0.04942917529105619,0.04942917529105619,71517,99.99580536912752
categorical__diag_2_family_Injury & poisoning,0.04891022797118992,0.04891022797118992,1694,2.3685682326621924
categorical__diag_1_family_Musculoskeletal & connective tissue,-0.04881106231552273,0.04881106231552273,3405,4.760906040268456
categorical__payer_code_SP,0.04854334114333575,0.04854334114333575,3477,4.8615771812080535
categorical__race_Hispanic,0.04831227765919519,0.04831227765919519,1423,1.989653243847875
categorical__admission_source_description_Transfer from a Skilled Nursing Facility (SNF),-0.0472536339799269,0.0472536339799269,576,0.8053691275167786
categorical__insulin_Up,-0.04654175411297923,0.04654175411297923,7997,11.181487695749441
categorical__glimepiride_Up,0.04443865993848201,0.04443865993848201,225,0.3145973154362416
categorical__diag_1_family_Other,-0.04368361949763883,0.04368361949763883,51,0.07130872483221476
categorical__medical_specialty_Gastroenterology,-0.0432815317725813,0.0432815317725813,375,0.5243288590604027
numeric__time_in_hospital,0.04207842945974033,0.04207842945974033,71520,100.0
categorical__insulin_Down,0.04085189078551652,0.04085189078551652,8573,11.98685682326622
categorical__diag_3_family_Circulatory,0.040808067723191045,0.040808067723191045,20947,29.288310961968676
categorical__miglitol_No,0.03954622814809382,0.03954622814809382,71495,99.9650447427293
categorical__diag_2_family_Infectious & parasitic,0.03729023189213868,0.03729023189213868,1379,1.928131991051454
numeric__num_procedures,-0.037057854596850084,0.037057854596850084,71520,100.0
categorical__admission_type_description_Urgent,0.03507996196824064,0.03507996196824064,12982,18.151565995525726
categorical__medical_specialty_Surgery-General,0.03338335172221153,0.03338335172221153,2196,3.070469798657718
categorical__diag_2_family_Circulatory,-0.03141279408390478,0.03141279408390478,22069,30.857102908277405
categorical__diag_1_family_Blood disorders,0.031063685502260074,0.031063685502260074,796,1.1129753914988816
categorical__diag_2_family_Genitourinary,-0.031029886353123353,0.031029886353123353,5617,7.8537472035794185
"categorical__diag_2_family_Endocrine, nutritional & metabolic",0.030719258558309967,0.030719258558309967,14784,20.671140939597315
categorical__diag_3_family_Injury & poisoning,0.03048828099964797,0.03048828099964797,1355,1.8945749440715884
categorical__diag_1_family_Injury & poisoning,0.030226071334467523,0.030226071334467523,4919,6.877796420581656
categorical__diag_3_family_Mental disorders,0.029652633309587402,0.029652633309587402,2206,3.0844519015659957
categorical__max_glu_serum_>200,-0.028505408943671647,0.028505408943671647,1091,1.525447427293065
categorical__race_Caucasian,0.027921061220889953,0.027921061220889953,53458,74.74552572706935
categorical__payer_code_BC,-0.027882828774158142,0.027882828774158142,3319,4.640659955257271
categorical__diag_3_family_External causes,-0.025879672460659323,0.025879672460659323,860,1.2024608501118568
categorical__glyburide_Up,0.024551191996325723,0.024551191996325723,547,0.764821029082774
