threshold,sensitivity,specificity,precision,npv,balanced_accuracy,f1,predicted_positive_rate,tn,fp,fn,tp
0.33499999999999996,0.03844166580551824,0.9924938207363081,0.39199157007376184,0.8912941891165681,0.5154677432709132,0.07001693958215698,0.01096514032837649,76293,577,9305,372
0.33999999999999997,0.03678826082463573,0.9930922336412125,0.40135287485907556,0.8911860845201961,0.5149402472329241,0.06739871260886028,0.010248766566143252,76339,531,9321,356
0.345,0.03575488271158417,0.993534538831794,0.41043890865954924,0.8911252683655372,0.514644710771689,0.06577946768060837,0.00974037228326805,76373,497,9331,346
0.35,0.03430815335331198,0.9938727722128269,0.41344956413449563,0.8910127822354917,0.5140904627830695,0.0633587786259542,0.009278195662472413,76399,471,9345,332
0.355,0.03275808618373463,0.9942240145700534,0.41655716162943496,0.890891287622689,0.513491050376894,0.06073960528836942,0.008792910210636995,76426,444,9360,317
0.35999999999999993,0.031104681202852123,0.9946403018082477,0.4221598877980365,0.8907658969639071,0.5128724915055499,0.05794032723772859,0.008238298265682231,76458,412,9376,301
0.36499999999999994,0.02976128965588509,0.9950435800702485,0.4304932735426009,0.8906704860383334,0.5124024348630668,0.05567369031509762,0.00772990398280703,76489,381,9389,288
0.36999999999999994,0.028107884675002585,0.9953688044750878,0.43312101910828027,0.8905364354799288,0.5117383445750452,0.05278990781174187,0.0072561729464915015,76514,356,9405,272
0.37499999999999994,0.026867830939340705,0.9956289839989593,0.436241610738255,0.8904375748973252,0.51124840746915,0.05061812518251728,0.006886431649854992,76534,336,9417,260
0.37999999999999995,0.025007750335847886,0.9959151814752178,0.4352517985611511,0.8902792152667139,0.5104614659055329,0.04729795758819506,0.006424255029059355,76556,314,9435,242
0.38499999999999995,0.024077710034101477,0.9961753609990893,0.44212523719165087,0.8902115787026273,0.5101265355165954,0.04566836534692278,0.006089176978982518,76576,294,9444,233
0.38999999999999996,0.0228376562984396,0.9965135943801223,0.45194274028629855,0.8901206163285226,0.509675625339281,0.043478260869565216,0.005650109189226663,76602,268,9456,221
0.39499999999999996,0.021804278185388035,0.9966827110706388,0.45278969957081544,0.8900338053693614,0.5092434946280134,0.04160504781622794,0.005384357632269171,76615,255,9466,211
0.39999999999999997,0.020564224449726155,0.9969558995707037,0.45958429561200925,0.8899365956754999,0.508760062010215,0.03936696340257171,0.005003061920112771,76636,234,9478,199
0.40499999999999997,0.01984085977059006,0.9972160790945752,0.4729064039408867,0.8898898317874183,0.5085284694325827,0.03808390360011901,0.004691092701075716,76656,214,9485,192
0.4099999999999999,0.019117495091453964,0.9973851957850917,0.4792746113989637,0.8898341477002356,0.5082513454382728,0.036768359336182055,0.004460004390677897,76669,201,9492,185
0.4149999999999999,0.01798077916709724,0.9976453753089631,0.49014084507042255,0.8897461481343977,0.5078130772380302,0.034688995215311005,0.004101817509561279,76689,181,9503,174
0.41999999999999993,0.016947401054045675,0.9978014830232861,0.4924924924924925,0.8896582921567263,0.5073744420386659,0.03276723276723277,0.0038476203681236786,76701,169,9513,164
0.42499999999999993,0.016017360752299266,0.9979705997138025,0.4983922829581994,0.8895820770907742,0.5069939802330509,0.03103724469363236,0.003593423226686078,76714,156,9522,155
0.42999999999999994,0.015707347318383795,0.9981136984519319,0.5117845117845118,0.8895652173913043,0.5069105228851578,0.03047924603970323,0.003431661409407605,76725,145,9525,152
0.43499999999999994,0.015190658261858014,0.9982698061662547,0.525,0.8895290203670001,0.5067302322140563,0.029526965953600482,0.003235236345569459,76737,133,9530,147
0.43999999999999995,0.014260617960111605,0.9983608689996097,0.5227272727272727,0.8894451977794003,0.5063107434798607,0.027763806458102808,0.0030503656972512045,76744,126,9539,138
0.44499999999999995,0.013330577658365195,0.9984909587615455,0.5265306122448979,0.8893652522537137,0.5059107682099553,0.02600282201169119,0.002830831802373277,76754,116,9548,129
0.44999999999999996,0.013020564224449726,0.9986080395472876,0.5407725321888412,0.8893458766828093,0.5058143018858686,0.02542885973763875,0.0026921788161345856,76763,107,9551,126
0.45499999999999996,0.011780510488787848,0.9986730844282555,0.5277777777777778,0.8892286664118335,0.5052267974585217,0.023046598605074294,0.0024957537522964403,76768,102,9563,114
0.45999999999999996,0.011160483620956908,0.9987641472616106,0.5320197044334976,0.8891758547206523,0.5049623154412838,0.02186234817813765,0.002345546350537858,76775,95,9569,108
0.4649999999999999,0.010540456753125968,0.998842201118772,0.5340314136125655,0.889121774977998,0.5046913289359489,0.020672882042967168,0.002206893364299167,76781,89,9575,102
0.4699999999999999,0.010127105507905342,0.998933263952127,0.5444444444444444,0.8890895828267741,0.5045301847300162,0.019884346149944204,0.0020797947935803666,76788,82,9579,98
0.4749999999999999,0.00961041645137956,0.9990113178092884,0.5502958579881657,0.8890458218527866,0.504310867130334,0.018890920170627667,0.0019526962228615665,76794,76,9584,93
0.4799999999999999,0.009093727394853778,0.9990633537140627,0.55,0.8889995022399204,0.5040785405544582,0.01789163362813866,0.0018487064831825483,76798,72,9589,88
0.48499999999999993,0.008473700527022838,0.999115389618837,0.5466666666666666,0.8889429031100617,0.5037945450729299,0.016688714765442147,0.0017331623279836388,76802,68,9595,82
0.48999999999999994,0.008267024904412525,0.9991544165474178,0.5517241379310345,0.8889261822642994,0.5037107207259152,0.016289961311341885,0.0016753902503841842,76805,65,9597,80
0.49499999999999994,0.007750335847886741,0.9992584883569663,0.5681818181818182,0.8888850315338772,0.5035044121024265,0.015292078703231725,0.0015251828486256022,76813,57,9602,75
0.49999999999999994,0.006510282112224863,0.999297515285547,0.5384615384615384,0.8887654749508273,0.502903898698886,0.012865019399632428,0.0013518666158272383,76816,54,9614,63
0.5049999999999999,0.005786917433088767,0.9993495511903213,0.5283018867924528,0.8886986499462061,0.502568234311705,0.011448430951650823,0.0012247680451084382,76820,50,9621,56
